Tarih,Sembol,Yön,Giriş,Çıkış,Marjin($),Nominal($),Kaldıraç,Brüt P&L($),Net P&L($),P&L(%),Kld P&L(%),Süre(dk),Çıkış Nedeni,Trailing,En Yüksek,En Düşük,WR,Stoch,RSI,EMA,HacimOranı,HTF,Güç,Portföy($)
2026-05-15 10:36:04,BANANAS31USDT,LONG,0.01221,0.01254,25.00,125.00,5,3.3784,3.2784,2.7027,13.5135,33,Trailing Stop,True,0.01261,0.01221,-81.86,18.14,29.71,DISABLED,0.00,DISABLED,Güçlü,503.28
2026-05-15 11:50:11,MUSDT,LONG,3.2492,3.2338,25.16,125.82,5,-0.5963,-0.6970,-0.4740,-2.3698,3,İlk Stop,False,3.2492,3.2338,-84.63,15.37,26.43,DISABLED,1.15,DISABLED,Güçlü,502.58
2026-05-15 14:42:57,AIAUSDT,SHORT,0.05771,0.05667,25.13,125.65,5,2.2643,2.1638,1.8021,9.0106,15,Trailing Stop,True,0.05771,0.05599,-21.35,78.65,70.02,DISABLED,0.94,DISABLED,Güçlü,504.75
2026-05-15 15:45:32,POLYXUSDT,LONG,0.05601,0.05558,25.24,126.19,5,-0.9688,-1.0697,-0.7677,-3.8386,58,İlk Stop,False,0.05624,0.05558,-64.58,35.42,28.79,DISABLED,0.93,DISABLED,Güçlü,503.68
2026-05-15 18:18:53,BLESSUSDT,LONG,0.005790,0.005790,25.18,125.92,5,0.0000,-0.1007,0.0000,0.0000,28,Trailing Stop,True,0.005850,0.005750,-82.35,17.65,28.95,DISABLED,0.00,DISABLED,Güçlü,503.57
2026-05-15 18:25:22,SPXUSDT,LONG,0.38760,0.38360,25.18,125.92,5,-1.2995,-1.4002,-1.0320,-5.1600,38,İlk Stop,False,0.39010,0.38360,-82.61,17.39,29.96,DISABLED,0.00,DISABLED,Güçlü,502.17
2026-05-15 18:25:23,PIXELUSDT,LONG,0.007620,0.007550,25.18,125.92,5,-1.1567,-1.2575,-0.9186,-4.5932,27,İlk Stop,False,0.007630,0.007550,-84.21,15.79,27.71,DISABLED,0.47,DISABLED,Güçlü,500.92
2026-05-15 18:41:37,ENAUSDT,LONG,0.11090,0.11020,25.05,125.23,5,-0.7904,-0.8906,-0.6312,-3.1560,15,İlk Stop,False,0.11110,0.11020,-82.35,17.65,29.98,DISABLED,0.26,DISABLED,Güçlü,500.03
2026-05-15 18:45:12,ALGOUSDT,LONG,0.11210,0.11150,25.05,125.23,5,-0.6703,-0.7705,-0.5352,-2.6762,14,İlk Stop,False,0.11220,0.11150,-84.62,15.38,26.42,DISABLED,0.65,DISABLED,Güçlü,499.26
2026-05-15 19:11:54,MERLUSDT,LONG,0.03286,0.03260,24.96,124.81,5,-0.9876,-1.0874,-0.7912,-3.9562,11,İlk Stop,False,0.03289,0.03260,-82.86,17.14,29.98,DISABLED,0.85,DISABLED,Güçlü,498.17
2026-05-15 19:58:44,MERLUSDT,LONG,0.03276,0.03305,24.91,124.54,5,1.1025,1.0028,0.8852,4.4261,42,Trailing Stop,True,0.03325,0.03258,-84.62,15.38,24.59,DISABLED,0.65,DISABLED,Güçlü,499.17
2026-05-15 20:52:28,SEIUSDT,LONG,0.06340,0.06380,25.18,125.92,5,0.7944,0.6937,0.6309,3.1546,180,Trailing Stop,True,0.06420,0.06310,-83.33,16.67,26.70,DISABLED,0.14,DISABLED,Güçlü,499.87
2026-05-15 20:54:34,SIGNUSDT,LONG,0.01463,0.01468,24.91,124.54,5,0.4256,0.3260,0.3418,1.7088,66,Trailing Stop,True,0.01475,0.01460,-81.82,18.18,25.85,DISABLED,0.00,DISABLED,Güçlü,500.19
2026-05-15 21:11:03,BERAUSDT,LONG,0.37000,0.37300,25.18,125.92,5,1.0210,0.9202,0.8108,4.0541,204,Trailing Stop,True,0.37600,0.36700,-84.62,15.38,28.38,DISABLED,0.09,DISABLED,Güçlü,501.11
2026-05-15 21:15:45,ONTUSDT,LONG,0.05810,0.05970,24.96,124.81,5,3.4372,3.3374,2.7539,13.7694,150,Trailing Stop,True,0.06010,0.05800,-75.00,25.00,26.77,DISABLED,3.04,DISABLED,Güçlü,504.45
2026-05-15 21:17:45,ALGOUSDT,LONG,0.11170,0.11330,24.96,124.81,5,1.7878,1.6880,1.4324,7.1620,146,Trailing Stop,True,0.11380,0.11160,-81.25,18.75,21.46,DISABLED,1.00,DISABLED,Güçlü,506.14
2026-05-15 21:18:39,BLURUSDT,LONG,0.02372,0.02391,25.18,125.92,5,1.0086,0.9079,0.8010,4.0051,212,Trailing Stop,True,0.02405,0.02359,-84.15,15.85,28.49,DISABLED,0.44,DISABLED,Güçlü,507.04
2026-05-15 23:05:30,PIXELUSDT,LONG,0.007570,0.007640,25.05,125.23,5,1.1580,1.0578,0.9247,4.6235,268,Trailing Stop,True,0.007690,0.007530,-83.33,16.67,23.10,DISABLED,1.11,DISABLED,Güçlü,508.10
2026-05-16 01:55:23,KERNELUSDT,LONG,0.06270,0.06380,25.41,127.03,5,2.2285,2.1269,1.7544,8.7719,48,Trailing Stop,True,0.06430,0.06270,-80.00,20.00,20.86,DISABLED,2.11,DISABLED,Güçlü,510.23
